scenario,selection_method,packets,delivered,lost,pdr,loss_ratio,average_delay,throughput_kbps,energy_consumed,network_lifetime_steps,seed
low_battery,contextual_kg,1000,183,817,0.183,0.817,9.327868852459016,0.749568,235,545,46
low_battery,kg_marl,1000,182,818,0.182,0.818,9.362637362637363,0.745472,235,540,46
relay_failure,static,1000,202,798,0.202,0.798,7.396039603960396,0.827392,225.88199999999847,699,46
relay_failure,baseline,1000,205,795,0.205,0.795,12.024390243902438,0.83968,228.98999999999867,756,46
relay_failure,contextual_kg,1000,204,796,0.204,0.796,10.715686274509803,0.835584,226.1339999999985,734,46
relay_failure,kg_marl,1000,202,798,0.202,0.798,11.752475247524753,0.827392,228.35999999999862,712,46
normal,static,1000,253,747,0.253,0.747,8.794466403162055,1.036288,183.63999999999544,1000,47
normal,baseline,1000,262,738,0.262,0.738,16.748091603053435,1.073152,189.17399999999313,1000,47
normal,contextual_kg,1000,260,740,0.26,0.74,15.576923076923077,1.0649600000000001,188.92599999999294,1000,47
normal,kg_marl,1000,261,739,0.261,0.739,15.842911877394636,1.069056,189.1379999999931,1000,47
high_mobility,static,1000,188,812,0.188,0.812,10.138297872340425,0.770048,180.79999999999552,919,47
high_mobility,baseline,1000,193,807,0.193,0.807,19.569948186528496,0.790528,185.74999999999272,919,47
high_mobility,contextual_kg,1000,194,806,0.194,0.806,16.20618556701031,0.794624,185.51599999999257,919,47
high_mobility,kg_marl,1000,193,807,0.193,0.807,17.487046632124354,0.790528,185.7579999999927,919,47
high_congestion,static,1000,200,800,0.2,0.8,9.23,0.8192,229.4519999999987,874,47
high_congestion,baseline,1000,199,801,0.199,0.801,15.381909547738694,0.815104,233.65199999999885,874,47
high_congestion,contextual_kg,1000,201,799,0.201,0.799,14.472636815920398,0.823296,230.33399999999872,874,47
high_congestion,kg_marl,1000,201,799,0.201,0.799,14.422885572139304,0.823296,230.41799999999873,874,47
low_battery,static,1000,169,831,0.169,0.831,7.071005917159764,0.6922240000000001,235,563,47
low_battery,baseline,1000,169,831,0.169,0.831,9.63905325443787,0.6922240000000001,235,566,47
low_battery,contextual_kg,1000,169,831,0.169,0.831,9.710059171597633,0.6922240000000001,235,545,47
low_battery,kg_marl,1000,169,831,0.169,0.831,9.875739644970414,0.6922240000000001,235,540,47
relay_failure,static,1000,178,822,0.178,0.822,8.606741573033707,0.729088,225.88199999999847,699,47
relay_failure,baseline,1000,188,812,0.188,0.812,12.925531914893616,0.770048,228.98999999999867,756,47
relay_failure,contextual_kg,1000,183,817,0.183,0.817,12.475409836065573,0.749568,226.1339999999985,734,47
relay_failure,kg_marl,1000,179,821,0.179,0.821,12.1731843575419,0.733184,228.35999999999862,712,47
normal,static,1000,261,739,0.261,0.739,8.241379310344827,1.069056,183.63999999999544,1000,48
normal,baseline,1000,267,733,0.267,0.733,16.56554307116105,1.0936320000000002,189.17399999999313,1000,48
normal,contextual_kg,1000,264,736,0.264,0.736,15.265151515151516,1.081344,188.92599999999294,1000,48
normal,kg_marl,1000,267,733,0.267,0.733,15.464419475655431,1.0936320000000002,189.1379999999931,1000,48
high_mobility,static,1000,187,813,0.187,0.813,9.759358288770054,0.765952,180.79999999999552,919,48
high_mobility,baseline,1000,192,808,0.192,0.808,17.947916666666668,0.786432,185.74999999999272,919,48
high_mobility,contextual_kg,1000,192,808,0.192,0.808,16.239583333333332,0.786432,185.51599999999257,919,48
high_mobility,kg_marl,1000,193,807,0.193,0.807,17.3419689119171,0.790528,185.7579999999927,919,48
high_congestion,static,1000,203,797,0.203,0.797,9.177339901477833,0.831488,229.4519999999987,874,48
high_congestion,baseline,1000,204,796,0.204,0.796,14.686274509803921,0.835584,233.65199999999885,874,48
high_congestion,contextual_kg,1000,205,795,0.205,0.795,14.209756097560975,0.83968,230.33399999999872,874,48
high_congestion,kg_marl,1000,203,797,0.203,0.797,14.47783251231527,0.831488,230.41799999999873,874,48
low_battery,static,1000,162,838,0.162,0.838,7.197530864197531,0.663552,235,563,48
low_battery,baseline,1000,161,839,0.161,0.839,9.98136645962733,0.659456,235,566,48
low_battery,contextual_kg,1000,159,841,0.159,0.841,10.433962264150944,0.6512640000000001,235,545,48
