protocol,scenario,seed,run,nodes,max_speed_mps,offered_rate,offered_packets,source_tx_packets,rx_packets,pdr_percent,loss_ratio_percent,average_delay_ms,average_jitter_ms,throughput_kbps,energy_consumed_j,network_lifetime_s
AODV,low_battery,42,3,20,5.000,64kbps,5061,5061,32,0.632,99.368,375.488,139.996,1.145,746.624,13.933
AODV,low_battery,42,4,20,5.000,64kbps,5061,5061,495,9.781,90.219,7.231,2.502,17.712,749.216,13.296
AODV,low_battery,42,5,20,5.000,64kbps,5061,5061,457,9.030,90.970,6.173,5.243,16.352,745.776,13.267
AODV,low_battery,42,6,20,5.000,64kbps,5061,5061,1607,31.753,68.247,216.870,15.952,57.501,743.621,13.934
AODV,low_battery,42,7,20,5.000,64kbps,5061,5061,1065,21.043,78.957,223.108,14.388,38.108,745.262,13.268
AODV,low_battery,42,8,20,5.000,64kbps,5061,5061,12,0.237,99.763,1.866,1.821,0.429,739.357,13.425
AODV,low_battery,42,9,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,746.511,13.420
AODV,low_battery,42,10,20,5.000,64kbps,5061,5061,134,2.648,97.352,15.149,7.773,4.795,741.288,14.000
OLSR,low_battery,42,1,20,5.000,64kbps,5061,748,369,7.291,92.709,2.271,2.668,13.203,744.240,13.327
OLSR,low_battery,42,2,20,5.000,64kbps,5061,881,742,14.661,85.339,0.694,0.750,26.550,742.611,13.604
OLSR,low_battery,42,3,20,5.000,64kbps,5061,130,13,0.257,99.743,12.603,15.702,0.465,746.786,13.838
OLSR,low_battery,42,4,20,5.000,64kbps,5061,514,457,9.030,90.970,0.506,0.313,16.352,749.526,13.343
OLSR,low_battery,42,5,20,5.000,64kbps,5061,438,357,7.054,92.946,0.853,0.445,12.774,745.817,13.585
OLSR,low_battery,42,6,20,5.000,64kbps,5061,1687,993,19.621,80.379,12.290,9.584,35.531,745.444,13.849
OLSR,low_battery,42,7,20,5.000,64kbps,5061,1064,922,18.218,81.782,0.642,0.478,32.991,745.535,13.823
OLSR,low_battery,42,8,20,5.000,64kbps,5061,130,29,0.573,99.427,5.594,5.674,1.038,739.882,13.576
OLSR,low_battery,42,9,20,5.000,64kbps,5061,0,0,0.000,100.000,0.000,0.000,0.000,746.886,13.313
OLSR,low_battery,42,10,20,5.000,64kbps,5061,254,162,3.201,96.799,2.341,1.967,5.797,741.509,14.000
DSR,low_battery,42,1,20,5.000,64kbps,5061,5061,367,7.252,92.748,407.490,163.693,13.132,756.745,13.240
DSR,low_battery,42,2,20,5.000,64kbps,5061,5061,614,12.132,87.868,226.973,88.638,21.970,757.066,14.000
DSR,low_battery,42,3,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,757.411,14.000
DSR,low_battery,42,4,20,5.000,64kbps,5061,5061,542,10.709,89.291,283.071,111.539,19.394,757.214,14.000
DSR,low_battery,42,5,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,757.410,14.000
DSR,low_battery,42,6,20,5.000,64kbps,5061,5061,1088,21.498,78.502,139.473,48.119,38.931,756.992,13.240
DSR,low_battery,42,7,20,5.000,64kbps,5061,5061,810,16.005,83.995,186.092,67.367,28.983,756.201,14.000
DSR,low_battery,42,8,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,756.243,14.000
DSR,low_battery,42,9,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,757.036,14.000
DSR,low_battery,42,10,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,757.682,14.000
AODV,relay_failure,42,1,20,5.000,64kbps,5061,5061,484,9.563,90.437,0.474,0.267,17.318,1965.827,120.000
AODV,relay_failure,42,2,20,5.000,64kbps,5061,5061,1016,20.075,79.925,8.506,4.366,36.354,1965.971,120.000
AODV,relay_failure,42,3,20,5.000,64kbps,5061,5061,32,0.632,99.368,375.488,139.996,1.145,1965.822,120.000
AODV,relay_failure,42,4,20,5.000,64kbps,5061,5061,495,9.781,90.219,7.231,2.502,17.712,1965.833,120.000
AODV,relay_failure,42,5,20,5.000,64kbps,5061,5061,408,8.062,91.938,6.746,5.675,14.599,1965.890,120.000
AODV,relay_failure,42,6,20,5.000,64kbps,5061,5061,1607,31.753,68.247,216.870,15.952,57.501,1966.070,120.000
AODV,relay_failure,42,7,20,5.000,64kbps,5061,5061,1065,21.043,78.957,223.108,14.388,38.108,1965.823,120.000
AODV,relay_failure,42,8,20,5.000,64kbps,5061,5061,12,0.237,99.763,1.866,1.821,0.429,1965.832,120.000
AODV,relay_failure,42,9,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.784,120.000
AODV,relay_failure,42,10,20,5.000,64kbps,5061,5061,134,2.648,97.352,15.149,7.773,4.795,1965.849,120.000
OLSR,relay_failure,42,1,20,5.000,64kbps,5061,748,369,7.291,92.709,2.271,2.668,13.203,1966.928,120.000
OLSR,relay_failure,42,2,20,5.000,64kbps,5061,881,742,14.661,85.339,0.694,0.750,26.550,1966.730,120.000
OLSR,relay_failure,42,3,20,5.000,64kbps,5061,130,13,0.257,99.743,12.603,15.702,0.465,1966.413,120.000
OLSR,relay_failure,42,4,20,5.000,64kbps,5061,514,457,9.030,90.970,0.506,0.313,16.352,1966.008,120.000
OLSR,relay_failure,42,5,20,5.000,64kbps,5061,438,310,6.125,93.875,0.892,0.504,11.092,1965.816,120.000
OLSR,relay_failure,42,6,20,5.000,64kbps,5061,1687,993,19.621,80.379,12.290,9.584,35.531,1969.763,120.000
OLSR,relay_failure,42,7,20,5.000,64kbps,5061,1064,922,18.218,81.782,0.642,0.478,32.991,1965.837,120.000
OLSR,relay_failure,42,8,20,5.000,64kbps,5061,130,29,0.573,99.427,5.594,5.674,1.038,1966.184,120.000
OLSR,relay_failure,42,9,20,5.000,64kbps,5061,0,0,0.000,100.000,0.000,0.000,0.000,1965.705,120.000
OLSR,relay_failure,42,10,20,5.000,64kbps,5061,254,162,3.201,96.799,2.341,1.967,5.797,1966.215,120.000
DSR,relay_failure,42,1,20,5.000,64kbps,5061,5061,474,9.366,90.634,315.617,126.539,16.961,1965.658,120.000
DSR,relay_failure,42,2,20,5.000,64kbps,5061,5061,1065,21.043,78.957,134.548,55.982,38.108,1965.829,120.000
DSR,relay_failure,42,3,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.605,120.000
DSR,relay_failure,42,4,20,5.000,64kbps,5061,5061,542,10.709,89.291,283.071,111.539,19.394,1965.629,120.000
DSR,relay_failure,42,5,20,5.000,64kbps,5061,5061,425,8.398,91.602,340.970,106.737,15.207,1965.661,120.000
DSR,relay_failure,42,6,20,5.000,64kbps,5061,5061,1136,22.446,77.554,134.302,47.225,40.648,1965.839,120.000
DSR,relay_failure,42,7,20,5.000,64kbps,5061,5061,810,16.005,83.995,186.092,67.367,28.983,1965.632,120.000
DSR,relay_failure,42,8,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.606,120.000
DSR,relay_failure,42,9,20,5.000,64kbps,5061,5061,0,0.000,100.000,0.000,0.000,0.000,1965.604,120.000
DSR,relay_failure,42,10,20,5.000,64kbps,5061,5061,150,2.964,97.036,981.652,379.857,5.367,1965.642,120.000
